id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
184941,incollection,yrjoensuuri-coppock:2016,,,2016,,Sophisms and Insolubles,Sophisms and Insolubles,,,,,,,265--289,265,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri;coppock_e,,,1:logic;2:history_of_logic
184942,incollection,yrjoensuuri:1990,,,1990,,"\emph{Obligationes}, \emph{Sophismata} and Oxford Calculators","Obligationes, Sophismata and Oxford Calculators",,,,,,,645--655,645,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:history_of_philosophy
184943,incollection,yrjoensuuri:1993,,,1993,,\emph{Expositio} as a Method of Solving Sophisms,Expositio as a Method of Solving Sophisms,,,,,,,202--217,202,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:logic;2:history_of_logic
184944,book,yrjoensuuri:1994,,,1994,,Obligationes -- 14th Century Logic of Disputational Duties,Obligationes – 14th Century Logic of Disputational Duties,,,,,,55,,,,acta_philosophica_fennica,Helsinki,,,societas-philosophica-fennica-akateeminen-kirjakauppa,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:logic;2:dialogue_logic
184945,incollection,yrjoensuuri:1999,,,1999,,The Scholastic Background of `Cogito Ergo Sum',The Scholastic Background of ‘Cogito Ergo Sum',,,,,,,47--70,47,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:epistemology;2:cogito
184946,incollection,yrjoensuuri:2000,,,2000,,The Trinity and Positio Impossibilis: Some Remarks on Inconsistence,The Trinity and Positio Impossibilis: Some Remarks on Inconsistence,,,,,,,59--68,59,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:religion;2:god;3:trinity
184947,book,yrjoensuuri:2001,,,2001,,"Medieval Formal Logic.~Obligations, Insolubles and Consequences","Medieval Formal Logic. Obligations, Insolubles and Consequences","Medieval Formal Logic.~Obligations, Insolubles and Consequences","Medieval Formal Logic. Obligations, Insolubles and Consequences",,,,49,,,,the_new_synthese_historical_library,Dordrecht,,,kluwer-academic-publishers,,,,,,,,,,,,,english,false,,,,yrjoensuuri,,1:logic;2:history_of_logic
184948,incollection,yrjoensuuri:2001a,,,2001,,"Duties, Rules and Interpretations in Obligational Disputations","Duties, Rules and Interpretations in Obligational Disputations",,,,,,,3--34,3,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:argumentation
184949,incollection,yrjoensuuri:2002,,,2002,,Free Will and Self-Control in Peter Olivi,Free Will and Self-Control in Peter Olivi,,,,,,,99--128,99,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:determinism;2:free_action
184950,incollection,yrjoensuuri:2006,,,2006,,Types of Self-Awareness in Medieval Thought,Types of Self-Awareness in Medieval Thought,,,,,,,153--170,153,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:perception;2:proprioception;3:self_awareness
184951,incollection,yrjoensuuri:2007b,,,2007,,The Structure of Self-Consciousness: A Fourteenth-Century Debate,The Structure of Self-Consciousness: A Fourteenth-Century Debate,,,,,,,141--152,141,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,2:history_of_the_philosophy_of_mind
184952,incollection,yrjoensuuri:2008,,,2008,,Perceiving One's Own Body,Perceiving One's Own Body,,,,,,,101--116,101,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:perception;2:proprioception
184953,incollection,yrjoensuuri:2008a,,,2008,,Treatments of the Paradoxes of Self-Reference,Treatments of the Paradoxes of Self-Reference,,,,,,,579--608,579,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:logic;2:history_of_logic
184954,incollection,yrjoensuuri:2008b,,,2008,,Locating the Self Within the Soul -- Thirteenth-Century Discussions,Locating the Self Within the Soul – Thirteenth-Century Discussions,,,,,,,225--242,225,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:persons;2:self
184955,article,yrjoensuuri:2009,,,2009,,Review of \citet{dutilhnovaes:2007a},Review of,,,,vivarium,47,4,480--482,480,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:logic;2:history_of_logic;3:obligationes
184956,incollection,yrjoensuuri:2010,,,2010,,Identity and Moral Agency,Identity and Moral Agency,,,,,,,472--483,472,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:action;2:responsibility
184957,incollection,yrjoensuuri:2014,,,2014,,Seeing Distance,Seeing Distance,,,,,,,187--206,187,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:perception;2:perception_of_space
184958,article,yrjoensuuri:2015,,,2015,,Obligations and Conditionals,Obligations and Conditionals,,,,vivarium,53,2--4,322--335,322,,,,,,,,,,,,,,,,,,,english,false,,,yrjoensuuri,,,1:language;2:indicative_conditionals
