id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
164831,article,sycara:1998,,,1998,,The Many Faces of Agents,The Many Faces of Agents,,,,the-ai-magazine,19,2,11--12,,,,,,,,,,,,,,,,,,,,false,,sycara,,,1:ai
164832,article,sycara:1998a,,,1998,,Multiagent Systems,Multiagent Systems,,,,the-ai-magazine,19,2,79--92,,,,,,,,,,,,,,,,,,,,false,,sycara,,,1:computation;2:distributed_systems;3:multi_agent_systems
164833,book,sydow:2013,,,2013,,Philosophische Anthropologie der Leidenschaften,Philosophische Anthropologie der Leidenschaften,,,,,,,,,,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,sydow,,,1:feeling;2:passions
164834,article,syeed:2003,,,2003,,Cross-Cultural Rationality,Cross-Cultural Rationality,,,,indian-philosophical-quarterly,30,1,1--44,,,,,,,,,,,,,,,,,,,,false,,syeed,,,1:rationality
164835,incollection,syerson:1994,,,1994,,An Epistemic Logic of Situations,An Epistemic Logic of Situations,,,,,,,109--121,,,,,,,,,,,,,,,,,,,,false,,syerson,,,1:belief;2:belief_reports;3:belief_attribution
164836,incollection,sykes_sw:1982,,,1982,,Theological Study: the Nineteenth Century and After,Theological Study: the Nineteenth Century and After,,,,,,,95--117,,,,,,,,,,,,,,,,,,,,false,,sykes_sw,,,1:religion
164837,incollection,sylvan_k-sosa:2018,,,2018,,The Place of Reasons in Epistemology,The Place of Reasons in Epistemology,,,,,,,555--574,,,,,,,,,,,,,,,,,,,,false,,sylvan_k;sosa_e,,,1:epistemology;2:justification
164838,article,sylvan_k:2012,,,2012,,Truth Monism Without Teleology,Truth Monism Without Teleology,,,,thought,1,3,161--169,,,,,,,,,,,,,,,,,,,,false,,sylvan_k,,,1:truth;2:pluralism_about_truth
164839,article,sylvan_k:2012a,,,2012,,How to Be a Redundant Realist,How to Be a Redundant Realist,,,,episteme,9,3,271--282,,,,,,,,,,,,,,,,,,,,false,,sylvan_k,,,1:metaphysics;2:realism
164840,article,sylvan_k:2015,,,2015,,What Apparent Reasons Appear to Be,What Apparent Reasons Appear to Be,,,,philosophical-studies,172,3,587--606,,,,,,,,,,,,,,,,,10.1007/s11098-014-0320-1,,,false,,sylvan_k,,,1:epistemology;2:justification;3:reasons_for_belief
